Level	TopPosID	MapName	MapID	WorldX	WorldY	MapX	MapY
30	1053	D­¬ng Trung ®éng-2	211	1921	3140	240	196
30	1054	D­¬ng Trung ®éng-2	211	1877	3308	234	206
30	1055	D­¬ng Trung ®éng-2	211	1665	3101	208	193
30	1056	D­¬ng Trung ®éng-3	212	1538	3224	192	201
30	1057	D­¬ng Trung ®éng-3	212	1309	3222	163	201
30	1058	D­¬ng Trung ®éng-3	212	1533	2893	191	180
30	1059	Thanh Khª ®éng	111	1744	3240	218	202
30	1060	Thanh Khª ®éng	111	1639	3042	205	190
30	1061	Thanh Khª ®éng	111	1803	3125	225	195
30	1062	Thanh Khª ®éng	111	1780	2765	222	172
30	1063	Thanh Khª ®éng	111	1626	2893	203	180
30	1064	Thanh Khª ®éng	111	1817	2766	227	172
50	1065	Thiªn S­ ®éng-1	313	1796	3491	224	218
50	1066	Thiªn S­ ®éng-1	313	1667	3317	208	207
50	1067	Thiªn S­ ®éng-1	313	1474	3247	184	202
50	1068	Thiªn S­ ®éng-1	313	1808	3225	226	201
50	1069	Thiªn S­ ®éng-2	314	1729	2998	216	187
50	1070	Thiªn S­ ®éng-2	314	1633	2911	204	181
50	1071	Thiªn S­ ®éng-2	314	1453	2984	180	186
50	1072	Long Hæ ®éng-1	322	1406	3062	175	191
50	1073	Long Hæ ®éng-1	322	1525	3046	190	190
50	1074	Long Hæ ®éng-1	322	1592	3043	199	190
50	1075	Long Hæ ®éng-1	322	1621	3031	202	189
50	1076	Long Hæ ®éng-1	322	1773	3029	221	189
50	1077	Long Hæ ®éng-2	323	1417	3161	177	197
50	1078	Long Hæ ®éng-2	323	1465	3047	183	190
50	1079	Long Hæ ®éng-2	323	1741	3062	217	191
50	1080	Long Hæ ®éng-2	323	1799	3214	224	200
50	1081	Long Hæ ®éng-2	323	1784	3343	223	208
50	1082	H¾c Phong ®éng	215	1792	3298	224	206
50	1083	H¾c Phong ®éng	215	1837	3252	229	203
50	1084	H¾c Phong ®éng	215	1882	3217	235	201
50	1085	H¾c Phong ®éng	215	1892	2949	236	184
50	1086	H¾c Phong ®éng	215	1855	2915	231	182
50	1087	H¾c Phong ®éng	215	1734	2948	216	184
50	1088	H¾c Phong ®éng	215	1560	3086	195	192
50	1089	H¾c Phong ®éng	215	1627	2909	203	181
50	1090	L­ìng Thñy ®éng_1	112	1533	2970	191	185
50	1091	L­ìng Thñy ®éng_1	112	1749	2709	218	169
50	1092	L­ìng Thñy ®éng_1	112	1614	2879	201	179
50	1093	L­ìng Thñy ®éng_1	112	1685	2973	210	185
50	1094	L­ìng Thñy ®éng_1	112	1779	2900	222	181
50	1095	L­ìng Thñy ®éng_2	113	1570	3276	196	204
50	1096	L­ìng Thñy ®éng_2	113	1542	3015	192	188
50	1097	L­ìng Thñy ®éng_2	113	1710	3009	213	187
50	1098	L­ìng Thñy ®éng_2	113	1633	3065	204	191
50	1099	L­ìng Thñy ®éng_2	113	1668	3142	208	196
70	1100	Thanh ¢m ®éng_1	109	1484	2737	185	170
70	1101	Thanh ¢m ®éng_1	109	1385	2751	173	171
70	1102	Thanh ¢m ®éng_1	109	1310	2771	163	173
70	1103	Thanh ¢m ®éng_1	109	1313	2854	164	178
70	1104	Thanh ¢m ®éng_1	109	1312	2967	164	185
70	1105	Thanh ¢m ®éng_1	109	1344	3077	168	192
70	1106	Thanh ¢m ®éng_1	109	1569	3184	196	198
70	1107	Thanh ¢m ®éng_1	109	1580	3063	197	191
70	1108	Thanh ¢m ®éng_1	109	1586	2968	198	185
70	1109	Thanh ¢m ®éng_1	109	1577	2855	197	178
70	1110	Thanh ¢m ®éng_2	110	1499	2686	187	167
70	1111	Thanh ¢m ®éng_2	110	1425	2670	178	166
70	1112	Thanh ¢m ®éng_2	110	1343	2683	167	167
70	1113	Thanh ¢m ®éng_2	110	1346	2809	168	175
70	1114	Thanh ¢m ®éng_2	110	1315	3160	164	197
70	1115	Thanh ¢m ®éng_2	110	1617	3165	202	197
70	1116	Thanh ¢m ®éng_2	110	1503	3152	187	196
70	1117	Thanh ¢m ®éng_2	110	1594	3041	199	190
70	1118	Thanh ¢m ®éng_2	110	1602	2945	200	184
70	1119	Thanh ¢m ®éng_2	110	1592	2783	199	173
