ID	Name	Belong	ProduceGenre	ProduceSub	ProduceDetail	SecProduceGenre	SecProduceSub	SecProduceDetail	SecProduceRate	Stuff1Genre	Stuff1Sub	Stuff1Detail	Stuff1Num	Stuff2Genre	Stuff2Sub	Stuff2Detail	Stuff2Num	Stuff3Genre	Stuff3Sub	Stuff3Detail	Stuff3Num	Stuff4Genre	Stuff4Sub	Stuff4Detail	Stuff4Num	ToolGenre	ToolSub	ToolDetail	ToolNum	NeedMore	Level	StaminaCost	ExpGain	RecipeDetail	MakeTime	EquipType	Identify
12	V¹n VËt Quy Nguyªn §¬n	6	1	0	11	0	0	0		1	2	11	3	1	2	10	2	1	2	9	2	1	2	8	2	0	0	0		0	8	0	4	30	54	0	1
13	Thanh T©m t¸n	6	1	0	12	1	0	13	5	1	2	8	2	1	2	1	1	0	0	0		0	0	0		0	0	0		0	2	0	4	31	54	0	1
14	Ých KhÝ t¸n	6	1	0	13	1	0	14	5	1	2	2	2	1	2	1	1	1	2	3	1	0	0	0		0	0	0		0	4	0	4	31	54	0	1
15	Ngäc Linh t¸n	6	1	0	14	1	0	15	5	1	2	3	2	1	2	2	1	1	2	9	1	0	0	0		0	0	0		0	6	0	4	31	54	0	1
16	Ngò Hoa Ngäc Lé Hoµn	6	1	0	15	1	0	16	5	1	2	11	3	1	2	10	3	1	2	9	2	1	2	1	3	0	0	0		0	8	0	5	31	54	0	1
17	Sinh Sinh Hãa T¸n	6	1	0	16	0	0	0		1	2	4	3	1	2	11	3	1	2	10	2	1	2	2	3	0	0	0		0	9	0	5	31	54	0	1
18	C¬m n¾m	7	1	1	2	1	1	3	5	1	3	9	2	1	3	19	3	0	0	0		0	0	0		0	0	0		0	1	0	6	36	54	0	1
19	Mµn thÇu	7	1	1	3	1	1	4	5	1	3	10	2	1	3	20	2	1	3	9	1	0	0	0		0	0	0		0	2	0	6	36	54	0	1
20	B¸nh xÕp	7	1	1	4	1	1	5	5	1	3	12	2	1	3	22	2	1	3	11	1	0	0	0		0	0	0		0	4	0	6	36	54	0	1
21	B¸nh bao thÞt	7	1	1	5	1	1	14		1	3	14	2	1	3	13	2	1	3	12	1	0	0	0		0	0	0		0	6	0	6	36	54	0	1
22	Tø Quý ®Ëu	7	1	1	7	1	1	8	5	1	3	11	2	1	3	21	2	1	3	10	1	0	0	0		0	0	0		0	3	0	6	37	54	0	1
23	§Ëu xµo	7	1	1	8	1	1	9	5	1	3	13	2	1	3	12	2	1	3	22	1	0	0	0		0	0	0		0	5	0	6	37	54	0	1
24	C¶i xµo tái	7	1	1	9	1	1	16	5	1	3	15	2	1	3	14	2	1	3	13	1	0	0	0		0	0	0		0	7	0	6	37	54	0	1
25	Thiªu §ao Tö	7	1	1	10	1	1	11	5	1	3	9	3	1	3	19	2	0	0	0		0	0	0		0	0	0		0	1	0	6	38	54	0	1
26	N÷ Nhi Hång	7	1	1	11	1	1	12	5	1	3	10	2	1	3	20	2	1	3	19	1	0	0	0		0	0	0		0	2	0	6	38	54	0	1
27	§¹o Hoa H­¬ng	7	1	1	12	1	1	13	5	1	3	12	2	1	3	22	2	1	3	21	1	0	0	0		0	0	0		0	4	0	3	38	54	0	1
28	Tóy Méng Töu	7	1	1	13	0	0	0		1	3	14	2	1	3	13	2	1	3	22	1	0	0	0		0	0	0		0	6	0	3	38	54	0	1
29	Gi¸m ®Þnh phï cÊp 1	8	2	5	1	2	5	2	5	2	2	30	1	2	2	65	1					0	0	0		0	0	0		0	1	0	2	43	54	0	1
30	Gi¸m ®Þnh phï cÊp 2	8	2	5	2	2	5	3	5	2	2	30	2	2	2	33	2	2	2	65	1	0	0	0		0	0	0		0	2	0	8	43	54	0	1
31	Gi¸m ®Þnh phï cÊp 3	8	2	5	3	2	5	4	5	2	2	30	2	2	2	33	2	2	2	29	2	0	0	0		0	0	0		0	3	0	12	43	54	0	1
32	Gi¸m ®Þnh phï cÊp 4	8	2	5	4	2	5	5	5	2	2	31	2	2	2	33	2	2	2	29	2	2	2	65	1	0	0	0		0	4	0	16	43	54	0	1
33	Gi¸m ®Þnh phï cÊp 5	8	2	5	5	2	5	6	5	2	2	31	2	2	2	34	2	2	2	29	2	2	2	65	2	0	0	0		0	5	0	20	43	54	0	1
34	Gi¸m ®Þnh phï cÊp 6	8	2	5	6	2	5	7	5	2	2	32	4	2	2	34	4	2	2	29	4	2	1	912	4	0	0	0		0	6	0	24	43	54	0	1
35	Gi¸m ®Þnh phï cÊp 7	8	2	5	7	0	0	0	0	2	2	32	8	2	2	35	8	2	2	29	8	2	1	912	8	0	0	0		0	7	0	28	43	54	0	1
36	BiÖn Kinh Håi phï	8	1	5	1	0	0	0		2	2	65	1	2	1	901	1	0	0	0		0	0	0		0	0	0		0	1	0	1	42	54	0	1
37	Thµnh §« Håi phï	8	1	5	2	0	0	0		2	2	65	1	2	1	902	1	0	0	0		0	0	0		0	0	0		0	1	0	1	42	54	0	1
38	TuyÒn Ch©u Håi phï	8	1	5	3	0	0	0		2	2	65	1	2	1	903	1	0	0	0		0	0	0		0	0	0		0	1	0	1	42	54	0	1
39	T­¬ng D­¬ng Håi phï	8	1	5	4	0	0	0		2	2	65	1	2	1	904	1	0	0	0		0	0	0		0	0	0		0	1	0	1	42	54	0	1
40	Phông T­êng Håi phï	8	1	5	5	0	0	0		2	2	65	1	2	1	905	1	0	0	0		0	0	0		0	0	0		0	1	0	1	42	54	0	1
41	§¹i Lý Håi phï	8	1	5	6	0	0	0		2	2	65	1	2	1	906	1	0	0	0		0	0	0		0	0	0		0	1	0	1	42	54	0	1
																																				0	
																																				0	
																																				0	
																																				0	
																																				0	
47	HiÖp ThiÕu Hé UyÓn	3	0	0	1	0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		1	1	0	0	6	180	0	1
48	Tr¹m Ng©n Hé UyÓn	3	0	0	2	0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		1	1	0	0	6	180	0	1
49	Phi Ng­ thñ	3	0	0	3	0	0	0		2	2	1	4	2	2	41	4	2	2	59	1	0	0	0		0	0	0		1	1	0	4	6	180	0	1
50	Hång Ma thñ	3	0	0	4	0	0	0		2	2	1	4	2	2	41	4	2	2	59	2	0	0	0		0	0	0		1	1	0	4	6	180	0	1
51	Xuyªn V©n thñ	3	0	0	5	0	0	0		2	2	2	4	2	2	42	4	2	2	27	1	2	2	59	3	0	0	0		1	2	0	4	6	180	0	1
52	Tam D­¬ng thñ	3	0	0	6	0	0	0		2	2	2	4	2	2	42	4	2	2	27	1	2	2	59	4	0	0	0		1	2	0	4	6	180	0	1
53	Thiªn Ng­u thñ	3	0	0	7	0	0	0		2	8	5	4	2	2	43	4	2	2	27	1	2	2	60	1	0	0	0		1	3	0	6	6	180	0	1
54	BÝch Xµ thñ	3	0	0	8	0	0	0		2	2	4	4	2	2	44	4	2	2	57	1	2	2	60	2	0	0	0		1	4	0	6	6	180	0	1
55	Kh¸ng Long thñ	3	0	0	9	0	0	0		2	2	4	4	2	2	44	4	2	2	57	1	2	2	60	3	0	0	0		1	4	0	8	6	180	0	1
56	T­êng Ph­îng	3	0	0	10	0	0	0		2	2	5	5	2	2	45	5	2	2	57	1	2	2	60	5	0	0	0		1	5	0	8	6	180	0	1
57	Né Long	3	0	0	11	0	0	0		2	2	5	5	2	2	45	5	2	2	57	1	2	2	61	2	0	0	0		1	5	0	8	6	180	0	1
58	Ngò Ph­¬ng Quû Chóng	3	0	0	12	0	0	0		2	2	6	5	2	2	9	5	2	2	58	1	2	2	61	3	0	0	0		1	6	0	8	6	180	0	1
59	Nª Lª ®Þa ngôc	3	0	0	13	0	0	0		2	2	36	6	2	2	10	6	2	2	58	1	2	2	61	4	0	0	0		1	7	0	8	6	180	0	1
60	HiÖp ThiÕu kiÕm	3	0	2	14	0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		1	1	0	0	4	180	0	1
61	Tïng V¨n kiÕm	3	0	2	15	0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		1	1	0	0	4	180	0	1
62	Linh Xµ kiÕm	3	0	2	16	0	0	0		2	2	1	4	2	2	41	4	2	2	59	1	0	0	0		0	0	0		1	1	0	4	4	180	0	1
63	XÝch Sa kiÕm	3	0	2	17	0	0	0		2	2	1	4	2	2	41	4	2	2	59	2	0	0	0		0	0	0		1	1	0	4	4	180	0	1
64	Thanh Minh kiÕm	3	0	2	18	0	0	0		2	2	2	4	2	2	42	4	2	2	27	1	2	2	59	3	0	0	0		1	2	0	4	4	180	0	1
65	HuyÕt S¸t kiÕm	3	0	2	19	0	0	0		2	2	2	4	2	2	42	4	2	2	27	1	2	2	59	4	0	0	0		1	2	0	4	4	180	0	1
66	Hµm Quang kiÕm	3	0	2	20	0	0	0		2	8	5	4	2	2	43	4	2	2	27	1	2	2	60	1	0	0	0		1	3	0	6	4	180	0	1
67	TÝch D­¬ng	3	0	2	21	0	0	0		2	2	4	4	2	2	44	4	2	2	57	1	2	2	60	2	0	0	0		1	4	0	6	4	180	0	1
68	HuyÒn §iÖn	3	0	2	22	0	0	0		2	2	4	4	2	2	44	4	2	2	57	1	2	2	60	3	0	0	0		1	4	0	8	4	180	0	1
69	Thanh S­¬ng	3	0	2	23	0	0	0		2	2	5	5	2	2	45	5	2	2	57	1	2	2	60	5	0	0	0		1	5	0	8	4	180	0	1
70	Dao Quang	3	0	2	24	0	0	0		2	2	5	5	2	2	45	5	2	2	57	1	2	2	61	2	0	0	0		1	5	0	8	4	180	0	1
71	BÝch HuyÕt	3	0	2	25	0	0	0		2	2	6	5	2	2	9	5	2	2	58	1	2	2	61	3	0	0	0		1	6	0	8	4	180	0	1
72	HuyÒn thiÕt Träng KiÕm	3	0	2	26	0	0	0		2	2	36	6	2	2	10	6	2	2	58	1	2	2	61	4	0	0	0		1	7	0	8	4	180	0	1
73	Giíi §ao	3	0	3	53	0	0	0		2	2	1	4	2	2	41	4	2	2	59	1	0	0	0		0	0	0		1	1	0	4	5	180	0	1
74	ChiÕt ThiÕt ®ao	3	0	3	54	0	0	0		2	2	1	4	2	2	41	4	2	2	59	2	0	0	0		0	0	0		1	1	0	4	5	180	0	1
75	LiÖt DiÖm ®ao	3	0	3	55	0	0	0		2	2	2	4	2	2	42	4	2	2	27	1	2	2	59	3	0	0	0		1	2	0	4	5	180	0	1
76	Ngò Hæ §o¹n M«n §ao	3	0	3	56	0	0	0		2	2	2	4	2	2	42	4	2	2	27	1	2	2	59	4	0	0	0		1	2	0	4	5	180	0	1
77	Cöu ¢m ®ao	3	0	3	57	0	0	0		2	8	5	4	2	2	43	4	2	2	27	1	2	2	60	1	0	0	0		1	3	0	6	5	180	0	1
78	Ph¸ S¬n ®ao	3	0	3	58	0	0	0		2	2	4	4	2	2	44	4	2	2	57	1	2	2	60	2	0	0	0		1	4	0	6	5	180	0	1
79	Nh©n §å ®ao	3	0	3	59	0	0	0		2	2	4	4	2	2	44	4	2	2	57	1	2	2	60	3	0	0	0		1	4	0	8	5	180	0	1
80	Long L©n	3	0	3	60	0	0	0		2	2	5	5	2	2	45	5	2	2	57	1	2	2	60	5	0	0	0		1	5	0	8	5	180	0	1
81	B¸ch TÞch	3	0	3	61	0	0	0		2	2	5	5	2	2	45	5	2	2	57	1	2	2	61	2	0	0	0		1	5	0	8	5	180	0	1
82	Thiªn S¸t	3	0	3	62	0	0	0		2	2	6	5	2	2	9	5	2	2	58	1	2	2	61	3	0	0	0		1	6	0	8	5	180	0	1
83	B¸ V­¬ng	3	0	3	63	0	0	0		2	2	36	6	2	2	10	6	2	2	58	1	2	2	61	4	0	0	0		1	7	0	8	5	180	0	1
84	HiÖp ThiÕu c«n	2	0	5	27	0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		1	1	0	0	11	180	0	1
85	TÒ Mi c«n	2	0	5	28	0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		1	1	0	0	11	180	0	1
86	Thñy Háa c«n	2	0	5	29	0	0	0		2	2	1	4	2	2	41	4	2	2	59	1	0	0	0		0	0	0		1	1	0	4	11	180	0	1
87	Tø B×nh c«n	2	0	5	30	0	0	0		2	2	1	4	2	2	41	4	2	2	59	2	0	0	0		0	0	0		1	1	0	4	11	180	0	1
88	Phæ §é c«n	2	0	5	31	0	0	0		2	2	2	4	2	2	42	4	2	2	27	1	2	2	59	3	0	0	0		1	2	0	4	11	180	0	1
89	H¹c Vò c«n	2	0	5	32	0	0	0		2	2	2	4	2	2	42	4	2	2	27	1	2	2	59	4	0	0	0		1	2	0	4	11	180	0	1
90	Ph©n Thñy c«n	2	0	5	33	0	0	0		2	8	5	4	2	2	43	4	2	2	27	1	2	2	60	1	0	0	0		1	3	0	6	11	180	0	1
91	TiÒm Long c«n	2	0	5	34	0	0	0		2	2	4	4	2	2	44	4	2	2	57	1	2	2	60	2	0	0	0		1	4	0	6	11	180	0	1
92	Tö Kim L­¬ng	2	0	5	35	0	0	0		2	2	4	4	2	2	44	4	2	2	57	1	2	2	60	3	0	0	0		1	4	0	8	11	180	0	1
93	§¶ CÈu bæng	2	0	5	36	0	0	0		2	2	5	5	2	2	45	5	2	2	57	1	2	2	60	5	0	0	0		1	5	0	8	11	180	0	1
94	KhÈn Na La Bæng	2	0	5	37	0	0	0		2	2	5	5	2	2	45	5	2	2	57	1	2	2	61	2	0	0	0		1	5	0	8	11	180	0	1
95	Thiªn Xµ c«n	2	0	5	38	0	0	0		2	2	6	5	2	2	9	5	2	2	58	1	2	2	61	3	0	0	0		1	6	0	8	11	180	0	1
96	Thanh Long c«n	2	0	5	39	0	0	0		2	2	36	6	2	2	10	6	2	2	58	1	2	2	61	4	0	0	0		1	7	0	8	11	180	0	1
97	TÝch tr­îng	2	0	8	86	0	0	0		2	2	1	4	2	2	41	4	2	2	59	1	0	0	0		0	0	0		1	1	0	4	12	180	0	1
98	Ho»ng Ph¸p tr­îng	2	0	8	87	0	0	0		2	2	1	4	2	2	41	4	2	2	59	2	0	0	0		0	0	0		1	1	0	4	12	180	0	1
99	Tam B¶o tr­îng	2	0	8	88	0	0	0		2	2	2	4	2	2	42	4	2	2	27	1	2	2	59	3	0	0	0		1	2	0	4	12	180	0	1
100	Phôc Ma tr­îng	2	0	8	89	0	0	0		2	2	2	4	2	2	42	4	2	2	27	1	2	2	59	4	0	0	0		1	2	0	4	12	180	0	1
101	Phæ §é tr­îng	2	0	8	90	0	0	0		2	8	5	4	2	2	43	4	2	2	27	1	2	2	60	1	0	0	0		1	3	0	6	12	180	0	1
102	NguyÖt Lu©n tr­îng	2	0	8	91	0	0	0		2	2	4	4	2	2	44	4	2	2	57	1	2	2	60	2	0	0	0		1	4	0	6	12	180	0	1
103	Kh«ng Minh tr­îng	2	0	8	92	0	0	0		2	2	4	4	2	2	44	4	2	2	57	1	2	2	60	3	0	0	0		1	4	0	8	12	180	0	1
104	B¶o Quang tr­îng	2	0	8	93	0	0	0		2	2	5	5	2	2	45	5	2	2	57	1	2	2	60	5	0	0	0		1	5	0	8	12	180	0	1
105	§¹i Tù T¹i Tr­îng	2	0	8	94	0	0	0		2	2	5	5	2	2	45	5	2	2	57	1	2	2	61	2	0	0	0		1	5	0	8	12	180	0	1
106	§¹i B¸t Nh· Tr­îng	2	0	8	95	0	0	0		2	2	6	5	2	2	9	5	2	2	58	1	2	2	61	3	0	0	0		1	6	0	8	12	180	0	1
107	Thiªn PhËt tr­îng	2	0	8	96	0	0	0		2	2	36	6	2	2	10	6	2	2	58	1	2	2	61	4	0	0	0		1	7	0	8	12	180	0	1
108	HiÖp ThiÕu ¸m KhÝ	4	0	1	40	0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		1	1	0	0	16	180	0	1
109	Ngò Quang th¹ch	4	0	1	41	0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		1	1	0	0	16	180	0	1
110	LiÔu DiÖp ®ao	4	0	1	42	0	0	0		2	2	1	4	2	2	41	4	2	2	59	1	0	0	0		0	0	0		1	1	0	4	16	180	0	1
111	§o¹n Tr­êng tiªu	4	0	1	43	0	0	0		2	2	1	4	2	2	41	4	2	2	59	2	0	0	0		0	0	0		1	1	0	4	16	180	0	1
112	Ph¸ DiÖt ThÇn Ch©m	4	0	1	44	0	0	0		2	2	2	4	2	2	42	4	2	2	27	1	2	2	59	3	0	0	0		1	2	0	4	16	180	0	1
113	Tö MÉu Ly Hån TiÔn	4	0	1	45	0	0	0		2	2	2	4	2	2	42	4	2	2	27	1	2	2	59	4	0	0	0		1	2	0	4	16	180	0	1
114	H¾c HuyÕt ThÇn Ch©m	4	0	1	46	0	0	0		2	8	5	4	2	2	43	4	2	2	27	1	2	2	60	1	0	0	0		1	3	0	6	16	180	0	1
115	Ngäc Phong ch©m	4	0	1	47	0	0	0		2	2	4	4	2	2	44	4	2	2	57	1	2	2	60	2	0	0	0		1	4	0	6	16	180	0	1
116	Tô Lý Cµn Kh«n	4	0	1	48	0	0	0		2	2	4	4	2	2	44	4	2	2	57	1	2	2	60	3	0	0	0		1	4	0	8	16	180	0	1
117	Hµm Sa X¹ ¶nh	4	0	1	49	0	0	0		2	2	5	5	2	2	45	5	2	2	57	1	2	2	60	5	0	0	0		1	5	0	8	16	180	0	1
118	ThÊt Tinh ThÊu Cèt Ch©m	4	0	1	50	0	0	0		2	2	5	5	2	2	45	5	2	2	57	1	2	2	61	2	0	0	0		1	5	0	8	16	180	0	1
119	ThÊt S¸t Thiªn La	4	0	1	51	0	0	0		2	2	6	5	2	2	9	5	2	2	58	1	2	2	61	3	0	0	0		1	6	0	8	16	180	0	1
120	Thiªn ngo¹i phi tiªn	4	0	1	52	0	0	0		2	2	36	6	2	2	10	6	2	2	58	1	2	2	61	4	0	0	0		1	7	0	8	16	180	0	1
121	Ngäc VËn cÇm	4	0	10	64	0	0	0		2	2	1	4	2	2	41	4	2	2	59	1	0	0	0		0	0	0		1	1	0	4	17	180	0	1
122	Kinh §µo cÇm	4	0	10	65	0	0	0		2	2	1	4	2	2	41	4	2	2	59	2	0	0	0		0	0	0		1	1	0	4	17	180	0	1
123	B«n L«i cÇm	4	0	10	66	0	0	0		2	2	2	4	2	2	42	4	2	2	27	1	2	2	59	3	0	0	0		1	2	0	4	17	180	0	1
124	Phi Béc Liªn Ch©u	4	0	10	67	0	0	0		2	2	2	4	2	2	42	4	2	2	27	1	2	2	59	4	0	0	0		1	2	0	4	17	180	0	1
125	L«i §éng V¹n VËt	4	0	10	68	0	0	0		2	8	5	4	2	2	43	4	2	2	27	1	2	2	60	1	0	0	0		1	3	0	6	17	180	0	1
126	HuyÒn Nhai Phi Béc	4	0	10	69	0	0	0		2	2	4	4	2	2	44	4	2	2	57	1	2	2	60	2	0	0	0		1	4	0	6	17	180	0	1
127	H¶i NguyÖt Thanh Huy	4	0	10	70	0	0	0		2	2	4	4	2	2	44	4	2	2	57	1	2	2	60	3	0	0	0		1	4	0	8	17	180	0	1
128	Cöu Tiªu Ngäc Béi	4	0	10	71	0	0	0		2	2	5	5	2	2	45	5	2	2	57	1	2	2	60	5	0	0	0		1	5	0	8	17	180	0	1
129	HiÖu Chung	4	0	10	72	0	0	0		2	2	5	5	2	2	45	5	2	2	57	1	2	2	61	2	0	0	0		1	5	0	8	17	180	0	1
130	Lôc Khëi	4	0	10	73	0	0	0		2	2	6	5	2	2	9	5	2	2	58	1	2	2	61	3	0	0	0		1	6	0	8	17	180	0	1
131	Tiªu VÜ	4	0	10	74	0	0	0		2	2	36	6	2	2	10	6	2	2	58	1	2	2	61	4	0	0	0		1	7	0	8	17	180	0	1
132	Ph¸n Quan bót	4	0	9	75	0	0	0		2	2	1	4	2	2	41	4	2	2	59	1	0	0	0		0	0	0		1	1	0	4	18	180	0	1
133	ChiÕt Xung bót	4	0	9	76	0	0	0		2	2	1	4	2	2	41	4	2	2	59	2	0	0	0		0	0	0		1	1	0	4	18	180	0	1
134	Xu©n Phong bót	4	0	9	77	0	0	0		2	2	2	4	2	2	42	4	2	2	27	1	2	2	59	3	0	0	0		1	2	0	4	18	180	0	1
135	Kinh L«i bót	4	0	9	78	0	0	0		2	2	2	4	2	2	42	4	2	2	27	1	2	2	59	4	0	0	0		1	2	0	4	18	180	0	1
136	V« Håi bót	4	0	9	79	0	0	0		2	8	5	4	2	2	43	4	2	2	27	1	2	2	60	1	0	0	0		1	3	0	6	18	180	0	1
137	Truy NguyÖt bót	4	0	9	80	0	0	0		2	2	4	4	2	2	44	4	2	2	57	1	2	2	60	2	0	0	0		1	4	0	6	18	180	0	1
138	ThÞ Hån bót	4	0	9	81	0	0	0		2	2	4	4	2	2	44	4	2	2	57	1	2	2	60	3	0	0	0		1	4	0	8	18	180	0	1
139	Long ThiÖt	4	0	9	82	0	0	0		2	2	5	5	2	2	45	5	2	2	57	1	2	2	60	5	0	0	0		1	5	0	8	18	180	0	1
140	R¨ng sãi	4	0	9	83	0	0	0		2	2	5	5	2	2	45	5	2	2	57	1	2	2	61	2	0	0	0		1	5	0	8	18	180	0	1
141	Ph¸ Qu©n	4	0	9	84	0	0	0		2	2	6	5	2	2	9	5	2	2	58	1	2	2	61	3	0	0	0		1	6	0	8	18	180	0	1
142	Thiªn C¬	4	0	9	85	0	0	0		2	2	36	6	2	2	10	6	2	2	58	1	2	2	61	4	0	0	0		1	7	0	8	18	180	0	1
143	HiÖp ThiÕu bè y	5	0	100	1	0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		1	1	0	0	22	180	0	1
144	H¾c T¹o bè y	5	0	100	2	0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		1	1	0	0	22	180	0	1
145	Tö C©m Bè Y	5	0	100	3	0	0	0		2	2	15	4	2	9	1	4	2	2	62	1	0	0	0		0	0	0		1	1	0	4	22	180	0	1
146	Bµn Long Tó	5	0	100	4	0	0	0		2	2	15	4	2	9	1	4	2	2	62	2	0	0	0		0	0	0		1	1	0	4	22	180	0	1
147	Th­¬ng Lang y	5	0	100	5	0	0	0		2	2	16	4	2	9	2	4	2	2	62	3	0	0	0		0	0	0		1	1	0	4	22	180	0	1
148	YÓm T©m gi¸p	5	0	100	6	0	0	0		2	2	16	4	2	9	2	4	2	2	62	3	0	0	0		0	0	0		1	1	0	4	22	180	0	1
149	ThÇn Hµnh phôc	5	0	100	7	0	0	0		2	2	18	4	2	9	3	4	2	2	21	1	2	2	62	4	0	0	0		1	2	0	6	22	180	0	1
150	Thanh S­¬ng bµo	5	0	100	8	0	0	0		2	2	18	4	2	9	3	4	2	2	21	1	2	2	62	4	0	0	0		1	2	0	6	22	180	0	1
151	Tham Lang y	5	0	100	9	0	0	0		2	2	17	4	2	2	52	4	2	2	22	1	2	2	63	1	0	0	0		1	3	0	8	22	180	0	1
152	XÝch §ång trô	5	0	100	10	0	0	0		2	2	17	4	2	2	52	4	2	2	22	1	2	2	63	1	0	0	0		1	3	0	8	22	180	0	1
153	NhuyÔn Kim y	5	0	100	11	0	0	0		2	2	46	4	2	2	53	4	2	2	22	1	2	2	63	2	0	0	0		1	4	0	8	22	180	0	1
154	Th­¬ng  Lan y	5	0	100	12	0	0	0		2	2	46	4	2	2	53	4	2	2	22	1	2	2	63	2	0	0	0		1	4	0	8	22	180	0	1
155	Lam K×nh b× gi¸p	5	0	100	13	0	0	0		2	2	20	5	2	2	54	5	2	2	22	1	2	2	64	1	0	0	0		1	5	0	8	22	180	0	1
156	XÝch Long bµo	5	0	100	14	0	0	0		2	2	20	5	2	2	54	5	2	2	22	1	2	2	64	1	0	0	0		1	5	0	10	22	180	0	1
157	Thiªn Lang y	5	0	100	15	0	0	0		2	10	7	5	2	2	55	5	2	2	23	1	2	2	64	2	0	0	0		1	6	0	10	22	180	0	1
158	B¨ng Tµm Trï sam	5	0	100	16	0	0	0		2	10	7	5	2	2	55	5	2	2	23	1	2	2	64	2	0	0	0		1	6	0	10	22	180	0	1
159	S¬n Quû huyÕt y	5	0	100	17	0	0	0		2	2	47	5	2	9	4	5	2	2	23	1	2	2	64	3	0	0	0		1	6	0	10	22	180	0	1
160	Thiªn Gi¸ng bµo	5	0	100	18	0	0	0		2	2	47	6	2	9	4	6	2	2	23	1	2	2	64	3	0	0	0		1	7	0	10	22	180	0	1
161	HiÖp ThiÕu y	5	0	100	19	0	0	0		0	0	0	1	0	0	0	1	0	0	0	1	0	0	0		0	0	0		1	1	0	2	23	180	0	1
162	ThiÕt Hé Kiªn	5	0	100	20	0	0	0		0	0	0	1	0	0	0	1	0	0	0	1	0	0	0		0	0	0		1	1	0	2	23	180	0	1
163	Thó Hé Kiªn	5	0	100	21	0	0	0		2	2	15	4	2	9	1	4	2	2	62	1	0	0	0		0	0	0		1	1	0	4	23	180	0	1
164	CÈm Ti C©n	5	0	100	22	0	0	0		2	2	15	4	2	9	1	4	2	2	62	2	0	0	0		0	0	0		1	1	0	4	23	180	0	1
165	Hµo HiÖp y	5	0	100	23	0	0	0		2	2	16	4	2	9	2	4	2	2	62	3	0	0	0		0	0	0		1	1	0	4	23	180	0	1
166	Kim Ngäc Trï sam	5	0	100	24	0	0	0		2	2	16	4	2	9	2	4	2	2	62	3	0	0	0		0	0	0		1	1	0	4	23	180	0	1
167	Lôc L©m trang	5	0	100	25	0	0	0		2	2	18	4	2	9	3	4	2	2	21	1	2	2	62	4	0	0	0		1	2	0	6	23	180	0	1
